,paper_name,paper_links
1,Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning,https://proceedings.neurips.cc/paper/2021/hash/000c076c390a4c357313fca29e390ece-Abstract.html
2,Learning One Representation to Optimize All Rewards,https://proceedings.neurips.cc/paper/2021/hash/003dd617c12d444ff9c80f717c3fa982-Abstract.html
3,Matrix factorisation and the interpretation of geodesic distance,https://proceedings.neurips.cc/paper/2021/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html
4,UniDoc: Unified Pretraining Framework for Document Understanding,https://proceedings.neurips.cc/paper/2021/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html
5,Finding Discriminative Filters for Specific Degradations in Blind Super-Resolution,https://proceedings.neurips.cc/paper/2021/hash/008bd5ad93b754d500338c253d9c1770-Abstract.html
6,Counterfactual Explanations Can Be Manipulated,https://proceedings.neurips.cc/paper/2021/hash/009c434cab57de48a31f6b669e7ba266-Abstract.html
7,From Canonical Correlation Analysis to Self-supervised Graph Neural Networks,https://proceedings.neurips.cc/paper/2021/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
8,BAST: Bayesian Additive Regression Spanning Trees for Complex Constrained Domain,https://proceedings.neurips.cc/paper/2021/hash/00b76fddeaaa7d8c2c43d504b2babd8a-Abstract.html
9,Hyperbolic Busemann Learning with Ideal Prototypes,https://proceedings.neurips.cc/paper/2021/hash/01259a0cb2431834302abe2df60a1327-Abstract.html
10,Backward-Compatible Prediction Updates: A Probabilistic Approach,https://proceedings.neurips.cc/paper/2021/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html
11,Truncated Marginal Neural Ratio Estimation,https://proceedings.neurips.cc/paper/2021/hash/01632f7b7a127233fa1188bd6c2e42e1-Abstract.html
12,ReAct: Out-of-distribution Detection With Rectified Activations,https://proceedings.neurips.cc/paper/2021/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html
13,Non-local Latent Relation Distillation for Self-Adaptive 3D Human Pose Estimation,https://proceedings.neurips.cc/paper/2021/hash/018b59ce1fd616d874afad0f44ba338d-Abstract.html
14,Fast Training of Neural Lumigraph Representations using Meta Learning,https://proceedings.neurips.cc/paper/2021/hash/01931a6925d3de09e5f87419d9d55055-Abstract.html
15,Analytical Study of Momentum-Based Acceleration Methods in Paradigmatic High-Dimensional Non-Convex Problems,https://proceedings.neurips.cc/paper/2021/hash/019f8b946a256d9357eadc5ace2c8678-Abstract.html
16,Multimodal Few-Shot Learning with Frozen Language Models,https://proceedings.neurips.cc/paper/2021/hash/01b7575c38dac42f3cfb7d500438b875-Abstract.html
17,Approximating the Permanent with Deep Rejection Sampling,https://proceedings.neurips.cc/paper/2021/hash/01d8bae291b1e4724443375634ccfa0e-Abstract.html
18,Revisiting Model Stitching to Compare Neural Representations,https://proceedings.neurips.cc/paper/2021/hash/01ded4259d101feb739b06c399e9cd9c-Abstract.html
19,AugMax: Adversarial Composition of Random Augmentations for Robust Training,https://proceedings.neurips.cc/paper/2021/hash/01e9565cecc4e989123f9620c1d09c09-Abstract.html
20,Habitat 2.0: Training Home Assistants to Rearrange their Habitat,https://proceedings.neurips.cc/paper/2021/hash/021bbc7ee20b71134d53e20206bd6feb-Abstract.html
21,Time Discretization-Invariant Safe Action Repetition for Policy Gradient Methods,https://proceedings.neurips.cc/paper/2021/hash/024677efb8e4aee2eaeef17b54695bbe-Abstract.html
22,Meta-Learning Reliable Priors in the Function Space,https://proceedings.neurips.cc/paper/2021/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html
23,VoiceMixer: Adversarial Voice Style Mixup,https://proceedings.neurips.cc/paper/2021/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
24,Predicting What You Already Know Helps: Provable Self-Supervised Learning,https://proceedings.neurips.cc/paper/2021/hash/02e656adee09f8394b402d9958389b7d-Abstract.html
25,Oracle Complexity in Nonsmooth Nonconvex Optimization,https://proceedings.neurips.cc/paper/2021/hash/030e65da2b1c944090548d36b244b28d-Abstract.html
26,CentripetalText: An Efficient Text Instance Representation for Scene Text Detection,https://proceedings.neurips.cc/paper/2021/hash/03227b950778ab86436ff79fe975b596-Abstract.html
27,Learning to Select Exogenous Events for Marked Temporal Point Process,https://proceedings.neurips.cc/paper/2021/hash/032abcd424b4312e7087f434ef1c0094-Abstract.html
28,DRIVE: One-bit Distributed Mean Estimation,https://proceedings.neurips.cc/paper/2021/hash/0397758f8990c1b41b81b43ac389ab9f-Abstract.html
29,Learning Space Partitions for Path Planning,https://proceedings.neurips.cc/paper/2021/hash/03a3655fff3e9bdea48de9f49e938e32-Abstract.html
